Title,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,XNot selected,YNot selected,X30,Y30,X30,Y30
,0,881.67,0,870.72,0,850.26,0,848.38,0,837.83,0,834.04,0,829.28,0,820.89,0,815.73,0,807.27,0,793.51,0,790.93,0,786.16,0,772.92,0,763.27,0,746.28,0,737.66,0,727.7,0,713.46,0,791.69,0,796.34,0,795.91,0,799.44,0,801.48,0,804.6,0,810.03,0,839.71,0,846,0,0,0,0,0,0
,74.98,880.71,14.99,870.23,62.94,849.01,15,847.71,8.99,837.07,11.96,833.68,24.98,826.41,2.99,819.72,8.96,814.81,17.76,806.1,5.99,792.87,9.19,789.42,3.4,784.09,10.44,771.95,3.37,762.94,6.14,745.49,3,736.94,3.64,726.04,6,712.86,3.42,791.39,28.57,793.17,13,795.52,9.4,797.97,9.54,800.56,9.46,803.52,17.02,809.62,6.07,838.82,24,844.88,20,0,20,0,20,0
,104.97,880.57,35.98,870.59,89.91,848.41,38.99,847.07,29.97,836.44,35.88,832.72,60.08,819.03,11.98,818.74,11.95,814.78,35.56,805.44,8.99,792.68,12.26,788.91,6.8,781.78,13.42,771.65,6.74,762.51,12.29,744.66,6,736.17,7.27,723.79,12,712.65,10.25,791.17,35.71,792.29,22.76,795.18,15.66,797.52,19.08,799.48,22.07,801.98,27.23,809.29,9.1,838.57,33,844.8,40,0,40,0,40,0
,116.96,880.78,56.96,870.11,104.89,848.34,44.99,847.1,38.96,836.34,53.82,831.7,82.95,817.95,20.97,817.84,17.93,815.08,41.52,804.72,11.99,792.74,18.39,787.94,10.19,779.41,16.82,771.13,10.12,762.22,18.43,745.73,9,735.29,10.91,721.17,18,713.03,13.67,791.19,39.28,791.75,29.26,794.86,31.31,797.19,22.26,799.07,28.37,801.29,34.04,808.99,12.14,838.46,60,844.01,60,0,60,0,60,0
,176.94,879.96,92.94,869.77,131.86,847.94,71.98,846.09,47.95,835.93,65.78,831.32,88.95,814.73,26.95,816.75,23.92,815.14,53.45,804.69,23.98,792.21,24.52,787.05,13.59,776.79,27.02,769.89,16.86,762.06,24.57,746.48,15.01,732.82,14.55,719.54,27,713.33,20.51,790.68,46.43,791.5,32.52,794.73,53.23,796.94,31.79,797.55,34.68,800.73,44.25,808.4,18.2,838.11,78,843.2,80,0,80,0,80,0
,227.93,879.55,134.91,868.67,170.82,846.9,110.98,845.21,53.94,835.9,89.7,830.4,92.04,814.1,32.93,814.33,32.89,814.96,68.36,804.41,32.97,791.75,27.59,786.59,16.99,773.85,33.83,768.68,20.23,762.02,30.72,746.76,18.01,732.17,18.19,718.12,39,713.14,27.34,790.33,53.57,792.53,39.02,794.64,75.14,796.88,38.15,796.67,40.98,800.3,54.46,807.74,21.23,837.88,78.72,842.51,100,0,100,0,100,0
,233.92,879.67,143.91,868.25,194.8,846.91,125.97,845.02,71.92,835.11,101.66,829.8,99.83,813,49.51,814.3,41.87,815.54,77.31,805.08,41.96,791.62,33.72,785.44,20.39,771.31,37.23,768.16,23.6,761.95,36.86,746.94,21.01,731.68,21.83,716.93,45,713.28,37.6,789.93,64.28,792.79,55.28,794.68,118.98,796.65,44.51,795.97,47.29,799.94,61.26,807.53,27.3,837.33,142.49,839.44,120,0,120,0,120,0
,260.92,879.26,163.4,867.92,224.77,846.45,134.97,844.41,83.91,834.83,113.62,829.4,106.07,812.9,80.74,814.25,47.85,815.5,92.22,805.18,47.96,791.72,42.91,783.79,23.79,769.11,40.63,767.79,26.97,761.78,46.08,746.69,24.01,731.28,25.46,715.94,51,713.33,44.43,789.72,67.86,792.68,61.78,794.89,144.02,796.34,47.69,795.7,53.59,799.67,68.07,807.01,36.4,836.61,150.78,838.02,140,0,140,0,140,0
,278.91,879.35,179.81,867.32,281.71,846.17,146.97,846.39,116.87,833.87,134.55,829.03,109.99,813.9,86.72,814.1,59.81,814.91,101.17,804.03,50.96,791.39,45.98,783.29,27.19,767.25,44.03,767.53,30.34,761.67,52.22,746.55,27.01,731.21,29.1,714.65,57,712.9,51.27,789.31,89.28,792.41,74.79,795.57,175.33,795.61,66.77,794.39,59.9,799.49,78.28,806.1,42.47,836.21,158.64,836.42,160,0,160,0,160,0
,320.9,878.79,191.76,866.86,296.69,846.2,156.21,846.7137,137.85,833.72,152.46,829.37,112.96,814.73,89.71,814.01,65.8,814.79,110.11,803.42,56.95,791.01,49.04,782.87,28.68,763.41,47.44,767.32,33.71,761.7,61.44,746.1,30.01,731.28,32.74,713.3,63,712.88,58.1,789.22,100,791.84,81.29,795.84,194.11,795.38,73.13,793.91,63.05,799.45,91.89,804.97,45.5,836.07,160.11,835.97,180,0,180,0,180,0
,347.89,878.91,208.26,866.11,305.68,846.47,158.96,846.81,152.83,833.19,161.33,829.73,114.99,818.75,101.66,814.2,71.78,815.05,136.95,803.23,68.94,790.94,52.11,782.54,31.65,762.51,50.84,767.27,37.08,761.63,67.58,744.98,33.01,731.2,36.38,712.02,72,712.85,64.94,789.05,110.71,790.97,87.8,796.07,219.16,795.13,79.49,793.49,72.51,799.45,102.11,804.22,51.56,836,164.91,835.94,200,0,200,0,200,0
,365.25,878.53,212.66,865.19,323.66,846.47,170.96,846.43,176.8,832.8,170.2,829.65,130.01,818.73,107.64,814.4,83.74,815.22,151.86,803.29,74.94,791.09,55.17,782.24,46.77,761.5,54.24,767.18,40.46,761.55,73.72,743.63,36.02,730.98,40.02,711.53,84,712.8,71.77,789.04,117.85,790.45,94.3,796.22,225.42,795.21,82.89,793.15,81.68,799.57,105.51,804,54.6,836.06,167.59,835.91,220,0,220,0,220,0
,397.11,878.24,221.07,863.32,344.64,846.75,177.29,845.5016,191.79,832.02,190.9,829.14,145.52,816.63,110.62,814.69,95.71,815.5,154.85,803.2,80.93,790.53,58.24,781.96,56.69,761.7,61.05,766.74,43.83,761.44,79.87,743.04,39.02,730.65,43.65,711.2,90,713.11,75.19,788.97,125,789.37,100.8,796.29,237.95,794.82,84.12,789.05,93.72,799.65,112.32,803.73,57.63,836.17,168.87,836.41,240,0,240,0,240,0
,401.27,876.03,223.85,862.03,365.62,846.51,179.96,845.11,218.76,832.11,199.77,828.22,155.16,817.97,122.58,814.84,110.67,815.56,178.7,803.36,89.92,790.16,64.37,781.37,61.68,762.51,64.45,766.49,47.2,761.3,86.01,742.66,42.02,730.2,50.93,710.32,96,713,82.03,788.7,132.14,788.4,107.31,796.31,247.34,794.81,93.68,786.98,96.73,799.73,122.53,803.47,60.66,836.22,171.24,837,260,0,260,0,260,0
,406.04,875.17,226.46,860.34,386.59,845.69,188.96,844.24,239.73,831.41,205.68,826.83,161.13,817.79,131.54,814.58,113.66,815.44,184.67,803.22,98.92,789.13,67.43,781.09,75.74,768.72,67.85,766.31,50.57,761.13,92.16,742.42,45.02,729.66,54.57,710.1,105,712.19,88.86,788.71,142.85,787.16,110.56,796.29,269.25,794.75,106.31,786.06,102.75,799.96,129.33,803.4,66.73,835.99,174.63,837,280,0,280,0,280,0
,406.41,872.97,231.73,860.22,413.57,844.85,230.95,843.63,257.71,831.5,206.39,826.8117,170.13,818.14,137.52,813.53,119.64,814.41,193.62,803.35,104.91,789.21,70.5,780.83,78.16,769.18,71.25,766.08,53.94,761.07,98.3,742.25,48.02,729.04,58.2,710.23,111,711.91,95.7,788.5,150,786.49,120.32,796.14,281.78,794.65,117.4,786.15,105.76,799.86,139.54,803.25,72.79,835.89,176.86,836.21,300,0,300,0,300,0
,408.87,872.73,239.57,861.18,419.56,844.86,269.94,843.35,311.65,831.37,214.98,826.59,182.13,818.01,142,813.31,122.63,814.6,211.51,803.09,113.91,788.86,73.56,780.63,81.56,769.45,74.65,765.65,57.31,760.97,107.52,742.29,51.02,728.36,61.84,710.57,117,712.2,109.37,788.32,160.71,785.8,126.82,795.97,297.43,795.9,126.03,786.06,111.77,799.59,146.35,803.03,81.89,835.89,178.08,835.38,320,0,320,0,320,0
,412.4,873.22,241.02,861.91,449.53,844.27,299.93,842.93,323.3,830.83,226.4,825.9764,191.13,817.58,152.46,812.88,134.6,813.99,226.42,803.02,116.9,788.65,76.63,780.52,84.96,769.59,78.06,765.28,60.68,760.84,113.66,742.23,54.03,727.63,65.48,711.06,123,712.4,116.2,788.41,167.85,785.59,133.32,795.73,313.08,797.54,138.98,787.43,117.79,799.44,153.16,802.58,94.03,835.98,180.12,835.43,340,0,340,0,340,0
,412.64,875.16,244.2,862.76,482.48,842.78,311.93,842.3,432.2,829.38,232.29,825.66,200.13,817.41,157.06,812.09,140.58,814.03,232.38,803.11,122.9,787.97,83.79,780.37,88.36,769.77,81.46,765.38,64.05,760.64,122.87,742.07,57.03,726.85,69.12,710.86,129,712.07,119.62,788.37,171.42,785.64,136.57,795.58,328.74,799.4,152.53,788.26,123.81,799.56,156.56,802.31,106.16,836.16,182.94,836.39,360,0,360,0,360,0
,421.25,877.17,290.3,866.2,502.64,842.68,341.92,842.07,482.1,830.08,238.21,824.9,206.13,817.53,158.44,810.81,143.57,814.39,238.35,802.92,140.88,787.51,86.82,780.13,91.76,769.61,84.86,765.61,67.43,760.58,129.02,741.75,60.03,726.04,72.76,710.33,135,712.13,126.46,788.57,178.57,785.43,146.33,795.07,335,800.11,155.62,789.26,129.83,799.47,163.37,801.58,112.22,836.18,184.34,838.3,380,0,380,0,380,0
,456.59,877.87,309.76,866.06,522.5,839.68,356.92,841.24,542.14,828.38,260.55,824.28,224.13,817.65,161.43,809.63,146.56,815.21,250.27,802.96,143.88,787.55,89.84,779.83,95.16,769.5,88.26,765.67,70.8,760.47,135.16,741.61,63.03,725.52,76.39,710.19,144,712.35,133.29,788.44,182.14,785.19,152.83,794.6,353.79,801.1,160.24,792.28,132.84,799.03,166.77,801.18,118.29,836.16,187.49,838.8,400,0,400,0,400,0
,462.75,878.97,327.34,866.04,524.54,837.08,369.23,839.94,543.51,826.95,263.32,822.4,233.13,817.85,165.15,807.8,149.55,815.71,259.2,803.16,149.88,788.06,92.87,779.26,98.56,769.58,91.66,765.56,74.17,760.2,141.31,741.46,65.07,725.47,80.03,710.28,150,712.7,136.71,788.31,189.28,785.01,159.34,793.99,360.05,800.8,166.42,792.22,135.41,798.45,173.58,801.23,124.36,836.09,205.89,838.78,420,0,420,0,420,0
,487.17,878.81,351.78,866.11,526.518,835.9,395.91,839.58,546.86,824.1,267.77,821.18,260.13,818.58,167.16,806.7,155.54,815.34,285.99,803.13,152.87,788.11,95.89,778.67,101.95,769.39,95.07,765.53,77.54,760.06,147.45,741.32,68.07,725.53,83.67,710.4,156,712.56,143.55,788.32,196.42,784.97,165.84,793.42,369.44,798.78,172.76,792.75,141.48,797.14,183.79,801.37,130.42,835.86,247.14,839.86,440,0,440,0,440,0
,517.88,879.1,384.18,865.87,536.57,834.7,413.9,839.44,552.18,824.5,268.97,820.08,275.13,818.74,179.29,807,170.49,814.96,294.92,803.37,158.87,787.56,98.92,778.28,105.35,769.3,98.47,765.57,80.91,759.95,153.59,741.2,74.6,724.02,87.31,710.66,168,712,146.96,788.22,203.57,784.56,182.1,792.28,375.7,796.95,182.27,793.21,143.79,795.15,187.19,801.51,133.45,835.66,248.2,841.13,460,0,460,0,460,0
,535.87,878.8,393.01,865.97,544.6,835.8,431.9,840.08,562.19,824.1,270.79,819.7,284.13,819.24,184.77,809.63,197.41,814.99,300.88,803.09,167.86,787.73,101.95,777.99,108.75,769.44,101.87,765.39,84.28,759.73,159.74,741.09,94.94,722.22,90.94,710.86,174,712.09,150.38,787.99,214.28,784.15,188.6,791.84,385.09,798.65,188.61,793.23,145.3,792.31,197.4,801.85,142.55,834.87,257.2,841.48,480,0,480,0,480,0
,562.86,878.77,412.41,865.88,546.48,837.08,437.9,839.78,572.07,824,274.95,818.8,302.13,819.07,192.14,813.38,200.41,815.04,324.69,802.87,176.86,787.13,104.97,777.76,112.15,769.47,105.27,764.92,87.65,759.69,165.88,741.02,113.83,721.92,94.58,711.14,180,712.08,157.22,787.93,217.85,783.88,195.11,791.45,394.49,800.56,194.95,793.57,145.74,790.56,211.02,802.16,148.62,834.25,263.2,841.99,500,0,500,0,500,0
,583.85,879.04,434.9,866.01,549.5,839.28,452.89,840.06,576.27,826.95,279.2,819.2,308.13,819.09,198.14,813.48,212.37,814.98,327.67,802.64,188.85,787.25,108,777.55,115.55,769.43,108.67,764.38,94.39,759.81,175.1,740.92,119.04,719.52,98.22,711.43,192,711.94,164.05,787.75,228.57,783.43,201.61,791.1,403.88,800.81,198.12,793.64,151.93,790.54,217.82,802.33,151.65,834.18,269.2,841.39,520,0,520,0,520,0
,640.83,879.28,445.65,866.06,558.12,840.5,473.89,839.67,577.11,829.28,282.81,820.08,320.13,819.38,213.09,813.18,224.34,815.36,333.62,802.71,191.84,787.59,111.03,777.37,118.95,769.12,112.08,763.65,97.77,759.8,181.24,740.98,121.23,718.4,101.86,711.52,204,711.95,170.89,787.78,232.14,783.46,211.37,790.64,410.14,800.68,201.28,793.55,155.89,791.19,228.03,802.41,154.68,834.24,275.2,842.36,540,0,540,0,540,0
,658.82,879.92,452.88,866.14,566.84,840.85,485.88,838.99,584.19,829.67,284.96,823.18,335.13,819.15,228.12,813.06,239.29,815.43,345.53,802.24,194.84,787.65,114.05,777.22,122.35,768.77,115.48,762.46,101.14,759.93,190.46,740.9,129.27,718.4,105.5,711.26,210,711.85,187.98,787.28,235.71,783.29,221.12,790.3,419.53,800.72,210.79,793.01,162.2,791.84,231.44,802.47,157.72,834.51,287.2,843.28,560,0,560,0,560,0
,688.81,879.88,455.4,866.1285,572.83,841.7,500.88,838.69,597.36,834.68,303.39,823.68,347.13,818.82,248.09,811.52,248.27,815.62,354.46,802.53,197.84,787.46,120.1,776.97,126.1,768.51,118.88,760.98,104.51,760.41,196.6,740.88,136.19,718.6,109.13,710.94,216,712.17,191.39,787.22,246.42,783.19,237.38,789.67,425.79,799.86,213.96,793.03,163.72,792.48,234.84,802.45,160.75,835.01,290.2,843.74,580,0,580,0,580,0
,736.79,880.31,478.55,866.0231,584.79,841.22,539.08,835.28,601.74,835.54,339.04,824.31,359.13,819.02,263.03,811.57,257.24,816.68,366.37,800.5,215.82,785.75,123.13,776.89,129.56,768.64,122.28,759.33,107.88,760.92,202.74,740.95,143.98,719.2,112.77,710.81,222,712.55,194.81,787.28,267.85,783.14,243.88,789.49,432.06,798.1,217.13,793.15,169.67,795.44,241.65,802.28,163.78,835.32,299.2,843.22,600,0,600,0,600,0
,757.78,880.22,485.83,865.99,590.78,841.35,545.87,835.5,604.71,836.28,345.02,824.6,380.13,818.63,266.02,812.42,263.22,816.99,372.33,799.99,218.82,785.59,126.16,776.68,133.01,768.73,125.68,757.42,111.25,761.34,208.89,740.75,163.78,719.1,116.41,710.72,228,712.42,201.65,787.03,274.99,783.03,247.14,789.46,441.45,796.77,220.3,793.07,171.83,795.36,245.05,802.14,169.85,835.8,311.2,842.11,620,0,620,0,620,0
,799.76,880.78,500.81,865.68,597.61,840.8337,563.86,834.84,616.61,837.74,356.99,824.67,386.13,818.33,277.97,812.22,275.19,816.52,378.28,799.14,236.81,785.18,129.18,776.38,143.37,768.77,132.49,753.44,114.62,761.59,215.03,740.62,173.76,719.52,120.05,710.67,234,712.58,205.06,786.84,278.57,783.09,253.64,789.55,460.23,795.83,226.64,792.8,178.02,796.0608,255.26,801.82,172.88,835.97,320.2,842.22,640,0,640,0,640,0
,811.76,881.28,518.78,865.84,616.18,839.43,569.86,834.24,,,365.96,824.3,397.57,818.4368,283.95,813.54,284.16,816.42,390.19,797.1,242.8,784.89,132.21,776,150.27,768.62,134.48,752.67,117.99,761.56,221.18,740.6,188.82,722.22,123.68,710.66,240,712.86,208.48,786.51,292.85,782.88,256.89,789.65,479.02,795.37,232.98,792.82,180.94,796.08,258.66,801.78,178.95,836.19,329.2,841.79,660,0,660,0,660,0
,832.75,881.73,551.73,866.86,618.12,839.4492,588.98,834.58,,,371.94,824.27,401.13,818.47,295.9,814.3,290.15,816.49,402.1,795.43,245.8,784.63,135.23,775.65,153.72,768.47,135.87,751.67,121.36,761.49,227.32,740.25,198.42,726.72,127.32,710.67,246,712.77,215.32,785.26,303.56,783.02,263.4,789.97,500.93,795.24,242.49,793.06,183.98,795.95,265.47,801.79,197.15,836.58,347.2,840.7,680,0,680,0,680,0
,,,575.7,867.91,650.61,839.77,592.13,832.48,,,383.9,824.62,407.13,817.9,304.87,814.93,299.12,816.23,408.05,794.94,257.79,784.33,138.26,775.46,157.18,768.61,138.89,751,124.74,761.44,233.46,740.23,200.18,727.37,130.96,710.69,258,712.55,218.74,785.2,314.28,782.76,269.9,790.35,513.46,795.09,245.66,793.01,187.01,796.12,272.28,801.84,206.25,836.68,353.2,841.05,700,0,700,0,700,0
,,,596.66,868.24,674.54,840.38,594.8,831.1,,,389.88,824.99,413.13,817.61,310.84,815.72,308.09,816.31,416.98,794.96,263.79,784.38,141.29,775.33,160.63,768.66,146.99,750.3,131.48,761.32,239.61,740.41,203.19,727.73,145.51,710.81,264,712.26,222.15,785.29,324.99,783.01,276.4,790.43,529.11,794.97,252,792.71,190.05,797.18,285.89,802,212.31,836.72,371.2,840.55,720,0,720,0,720,0
,,,611.64,868.73,692.49,840.39,605.05,830.2,,,395.87,824.96,417.6,817.2772,316.82,816.8,311.08,815.94,434.52,794.56,269.78,784.57,144.31,775.43,164.08,768.63,156.94,750.7,134.85,761.22,248.82,740.31,206.19,727.85,152.79,710.83,273,712.29,228.99,785.21,332.14,782.91,279.65,790.35,551.03,794.74,261.51,792.53,193.08,798.42,289.29,802.07,215.34,836.7,383.2,840.78,740,0,740,0,740,0
,,,623.63,866.89,701.46,840.61,614.93,829.6,,,404.84,825.23,422.13,816.94,328.77,817.01,317.07,815.58,437.65,790.76,275.78,784.9,147.34,775.59,167.53,768.44,166.99,751.4,138.22,761.07,254.97,740.2,209.19,728.01,156.43,710.85,279,711.88,235.82,785.24,339.28,782.93,286.16,790.1,576.07,794.37,271.01,792.27,196.12,799.47,296.1,802.3,218.38,836.62,395.2,840.41,760,0,760,0,760,0
,,,641.6,866.83,725.39,840.65,620.06,830,,,410.82,824.83,431.13,817.4,331.76,817.24,323.05,815.53,439.86,789.96,281.77,785.04,150.37,775.49,170.99,768.17,177.07,750.9,141.59,760.43,261.11,740,212.19,728.05,163.7,710.87,285,711.79,242.66,785.51,346.42,783.03,289.41,789.94,607.38,794.2,283.69,791.86,199.15,799.79,302.91,802.67,221.41,836.46,413.2,840.81,780,0,780,0,780,0
,,,659.57,870.88,740.35,840.93,621.96,830.7,,,416.8,825.03,440.13,818.05,337.74,817.26,332.02,814.88,444.56,790,299.76,784.98,153.39,774.91,174.44,767.86,180.13,751.67,144.96,759.75,267.25,739.75,215.2,728.02,167.34,710.89,291,712.09,245.72,785.27,357.14,783.01,295.91,789.56,640.24,793.82,293.2,791.71,202.19,799.82,313.12,803.41,224.44,836.24,422.2,840.43,800,0,800,0,800,0
